"Name","Count"
".env","3"
".gitignore","1"
".md","3036"
".csv","3"
".json","10115"
".js","63703"
".lnk","1"
".css","48"
".svg","106"
".gitkeep","9"
".ico","3"
".png","142"
".txt","109"
".jpg","466"
"","1848"
".pdf","10"
".cmd","103"
".ps1","103"
".eslintcache","6"
".pack","91"
".pack_","1"
".old","1"
".ts","33795"
".mjs","1300"
".map","4063"
".cjs","177"
".bnf","15"
".cts","18"
".flow","1266"
".editorconfig","67"
".gitattributes","15"
".mts","169"
".tsx","195"
".jst","162"
".def","30"
".yml","307"
".snap","43"
".dll","4"
".node","2"
".jshintrc","18"
".BSD","10"
".wasm","3"
".ejs","2"
".html","31"
".bin","1"
".nvmrc","2"
".npmignore","56"
".eslintrc","174"
".nycrc","125"
".eslintignore","6"
".sh","4"
".lock","7"
".markdown","20"
".gif","1"
".1","4"
".tsbuildinfo","23"
".mdown","2"
".closure-compiler","3"
".esprima","3"
".babelrc","8"
".coffee","27"
".php","1"
".py","2"
".conf","1"
".auto-changelog","1"
".iml","1"
".xml","5"
".jscsrc","4"
".nix","4"
".swf","1"
".log","4"
".tm_properties","1"
".opts","1"
".jison","1"
".yaml","1"
".applescript","1"
".prettierrc","1"
".scss","20"
".gyp","2"
".cc","14"
".h","12"
".pegjs","1"
".jsx","11"
".exe","2"
".gz","1"
".xss","1"
".jpeg","1"
".deleted","2"
".bak-20250630","1"
